type	duration (s)	bw (Mb/s)	price (euros/s)
---------------------------------------------------
e		1				1			0.000001
i		1				1			0.000002
e		1				5			0.000005
i		1				5			0.000010
e		1				10			0.000010
i		1				10			0.000020
e		1				20			0.000020
i		1				20			0.000040
e		1				40			0.000040
i		1				40			0.000080
e		1				50			0.000050
i		1				50			0.000100
e		1				60			0.000060
i		1				60			0.000120
e		1				80			0.000080
i		1				80			0.000160
e		1				100			0.000100
i		1				100			0.000200
e		5				1			0.000005
i		5				1			0.000010
e		5				5			0.000025
i		5				5			0.000050
e		5				10			0.000050
i		5				10			0.000100
e		5				20			0.000100
i		5				20			0.000200
e		5				40			0.000200
i		5				40			0.000400
e		5				50			0.000250
i		5				50			0.000500
e		5				60			0.000300
i		5				60			0.000600
e		5				80			0.000400
i		5				80			0.000800
e		5				100			0.000500
i		5				100			0.001000
e		10				1			0.000010
i		10				1			0.000020
e		10				5			0.000050
i		10				5			0.000100
e		10				10			0.000100
i		10				10			0.000200
e		10				20			0.000200
i		10				20			0.000400
e		10				40			0.000400
i		10				40			0.000800
e		10				50			0.000500
i		10				50			0.001000
e		10				60			0.000600
i		10				60			0.001200
e		10				80			0.000800
i		10				80			0.001600
e		10				100			0.001000
i		10				100			0.002000
e		20				1			0.000020
i		20				1			0.000040
e		20				5			0.000100
i		20				5			0.000200
e		20				10			0.000200
i		20				10			0.000400
e		20				20			0.000400
i		20				20			0.000800
e		20				40			0.000800
i		20				40			0.001600
e		20				50			0.001000
i		20				50			0.002000
e		20				60			0.001200
i		20				60			0.002400
e		20				80			0.001600
i		20				80			0.003200
e		20				100			0.002000
i		20				100			0.004000
e		30				1			0.000030
i		30				1			0.000060
e		30				5			0.000150
i		30				5			0.000300
e		30				10			0.000300
i		30				10			0.000600
e		30				20			0.000600
i		30				20			0.001200
e		30				40			0.001200
i		30				40			0.002400
e		30				50			0.001500
i		30				50			0.003000
e		30				60			0.001800
i		30				60			0.003600
e		30				80			0.002400
i		30				80			0.004800
e		30				100			0.003000
i		30				100			0.006000
e		40				1			0.000040
i		40				1			0.000080
e		40				5			0.000200
i		40				5			0.000400
e		40				10			0.000400
i		40				10			0.000800
e		40				20			0.000800
i		40				20			0.001600
e		40				40			0.001600
i		40				40			0.003200
e		40				50			0.002000
i		40				50			0.004000
e		40				60			0.002400
i		40				60			0.004800
e		40				80			0.003200
i		40				80			0.006400
e		40				100			0.004000
i		40				100			0.008000
e		50				1			0.000050
i		50				1			0.000100
e		50				5			0.000250
i		50				5			0.000500
e		50				10			0.000500
i		50				10			0.001000
e		50				20			0.001000
i		50				20			0.002000
e		50				40			0.002000
i		50				40			0.004000
e		50				50			0.002500
i		50				50			0.005000
e		50				60			0.003000
i		50				60			0.006000
e		50				80			0.004000
i		50				80			0.008000
e		50				100			0.005000
i		50				100			0.010000
e		60				1			0.000060
i		60				1			0.000120
e		60				5			0.000300
i		60				5			0.000600
e		60				10			0.000600
i		60				10			0.001200
e		60				20			0.001200
i		60				20			0.002400
e		60				40			0.002400
i		60				40			0.004800
e		60				50			0.003000
i		60				50			0.006000
e		60				60			0.003600
i		60				60			0.007200
e		60				80			0.004800
i		60				80			0.009600
e		60				100			0.006000
i		60				100			0.012000
